NAICS codecaption,caption,trir,dart
333242,Semiconductor machinery manufacturing,0.7,0.5
333243,"Sawmill, woodworking, and paper machinery manufacturing",3.5,1.9
333249,Other industrial machinery manufacturing,3,1.6
3333,Commercial and service industry machinery manufacturing,3,1.7
33331,Commercial and service industry machinery manufacturing,3,1.7
333314,Optical instrument and lens manufacturing,1.8,0.7
333318,Other commercial and service industry machinery manufacturing,3.3,2
3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",2.9,1.5
33341,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",2.9,1.5
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,3.7,2
333414,Heating equipment (except warm air furnaces) manufacturing,4.7,1.7
333415,Air-conditioning and warm air heating equip and commercial and industrial refrigeration equip mfg,2.4,1.3
3335,Metalworking machinery manufacturing,3.7,1.8
33351,Metalworking machinery manufacturing,3.7,1.8
333511,Industrial mold manufacturing,3.2,1.8
333514,"Special die and tool, die set, jig, and fixture manufacturing",4.3,2
333515,Cutting tool and machine tool accessory manufacturing,3.2,2.2
333517,Machine tool manufacturing,3.5,1.4
333519,Rolling mill and other metalworking machinery manufacturing,4.2,1.8
3336,"Engine, turbine, and power transmission equipment manufacturing",2.4,1.2
33361,"Engine, turbine, and power transmission equipment manufacturing",2.4,1.2
333611,Turbine and turbine generator set units manufacturing,2.2,1
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",2.9,1.3
333613,Mechanical power transmission equipment manufacturing,3.4,1.7
333618,Other engine equipment manufacturing,2,1.1
3339,Other general purpose machinery manufacturing,3.3,1.8
33391,Pump and compressor manufacturing,2.4,1.6
333911,Pump and pumping equipment manufacturing,2.2,1.5
333912,Air and gas compressor manufacturing,2.6,1.8
333913,Measuring and dispensing pump manufacturing,2.7,1.6
33392,Material handling equipment manufacturing,4.4,2.4
333921,Elevator and moving stairway manufacturing,4.3,1.6
333922,Conveyor and conveying equipment manufacturing,3.9,1.9
333923,"Overhead traveling crane, hoist, and monorail system manufacturing",5.9,3.9
333924,"Industrial truck, tractor, trailer, and stacker machinery manufacturing",4.1,2.6
33399,All other general purpose machinery manufacturing,2.9,1.5
333991,Power-driven handtool manufacturing,2.2,1.1
333992,Welding and soldering equipment manufacturing,3.2,1.2
333993,Packaging machinery manufacturing,2.5,1.1
333994,Industrial process furnace and oven manufacturing,3.1,1.6
333995,Fluid power cylinder and actuator manufacturing,3.1,1.8
333996,Fluid power pump and motor manufacturing,2.1,1.1
333997,Scale and balance manufacturing,2.4,1.1
333999,All other miscellaneous general purpose machinery manufacturing,3.5,2
334,Computer and electronic product manufacturing,1.2,0.6
3341,Computer and peripheral equipment manufacturing,0.7,0.3
33411,Computer and peripheral equipment manufacturing,0.7,0.3
334111,Electronic computer manufacturing,0.5,0.3
334118,Computer terminal and other computer peripheral equipment manufacturing,1,0.4
3342,Communications equipment manufacturing,1.4,0.8
33421,Telephone apparatus manufacturing,1.2,0.9
33422,Radio and television broadcasting and wireless communications equipment manufacturing,1.3,0.8
33429,Other communications equipment manufacturing,1.7,0.9
3343,Audio and video equipment manufacturing,1.7,1.1
3344,Semiconductor and other electronic component manufacturing,1.2,0.6
33441,Semiconductor and other electronic component manufacturing,1.2,0.6
334412,Bare printed circuit board manufacturing,1.8,1.2
334413,Semiconductor and related device manufacturing,0.9,0.4
334416,"Capacitor, resistor, coil, transformer, and other inductor manufacturing",2.2,1.5
334417,Electronic connector manufacturing,1.2,0.9
334418,Printed circuit assembly (electronic assembly) manufacturing,1.1,0.5
334419,Other electronic component manufacturing,1.4,0.9
3345,"Navigational, measuring, electromedical, and control instruments manufacturing",1.3,0.7
33451,"Navigational, measuring, electromedical, and control instruments manufacturing",1.3,0.7
334510,Electromedical and electrotherapeutic apparatus manufacturing,1.2,0.7
334511,"Search, detection, navigation, guidance, aeronautical, and nautical system and instrument mfg",0.8,0.5
334512,"Automatic environmental control manufacturing for residential, commercial, and appliance use",3.7,2
334513,"Instr. and rel. prod. mfg. for measuring, displaying, and controlling industrial process variables",1.6,0.6
334514,Totalizing fluid meter and counting device manufacturing,2.1,1.3
334515,Instrument manufacturing for measuring and testing electricity and electrical signals,1,0.5
334516,Analytical laboratory instrument manufacturing,1.6,0.8
334517,Irradiation apparatus manufacturing,0.9,0.4
334519,Other measuring and controlling device manufacturing,1.2,0.7
3346,Manufacturing and reproducing magnetic and optical media,0.9,0.7
33461,Manufacturing and reproducing magnetic and optical media,0.9,0.7
335,"Electrical equipment, appliance, and component manufacturing",2.5,1.4
3351,Electric lighting equipment manufacturing,2.8,1.9
33511,Electric lamp bulb and part manufacturing,2.1,1.2
33512,Lighting fixture manufacturing,2.9,2
335121,Residential electric lighting fixture manufacturing,1.2,1.1
335122,"Commercial, industrial, and institutional electric lighting fixture manufacturing",3.2,2.4
3352,Household appliance manufacturing,2.8,1.5
33521,Small electrical appliance manufacturing,2.9,1.3
33522,Major appliance manufacturing,2.8,1.5
335221,Household cooking appliance manufacturing,3.1,1.7
335222,Household refrigerator and home freezer manufacturing,3.7,2.2
3353,Electrical equipment manufacturing,2.3,1.2
33531,Electrical equipment manufacturing,2.3,1.2
335311,"Power, distribution, and specialty transformer manufacturing",4.8,2.4
335312,Motor and generator manufacturing,2.3,1.3
